Participant: 16
MachineID: W0008408
Start Time: Mon, Oct 28, 2013 13:15:54
Seed: 78064
subject	trial	cond	totalTime	trialTime	prevTarget	curTarget	nextTarget	hitTargetPos	timeTargetHit	objTouched	Correct	xPos	yPos
16	0	NB87	16	16	-1	3	1	-1	-1	-1	-1	512	384
16	0	NB87	32	32	-1	3	1	-1	-1	-1	-1	512	384
16	0	NB87	48	48	-1	3	1	-1	-1	-1	-1	512	384
16	0	NB87	64	64	-1	3	1	-1	-1	-1	-1	512	384
16	0	NB87	80	80	-1	3	1	-1	-1	-1	-1	512	384
16	0	NB87	96	96	-1	3	1	-1	-1	-1	-1	512	384
16	0	NB87	112	112	-1	3	1	-1	-1	-1	-1	512	384
16	0	NB87	128	128	-1	3	1	-1	-1	-1	-1	512	384
16	0	NB87	144	144	-1	3	1	-1	-1	-1	-1	512	384
16	0	NB87	160	160	-1	3	1	-1	-1	-1	-1	512	384
16	0	NB87	176	176	-1	3	1	-1	-1	-1	-1	512	384
16	0	NB87	192	192	-1	3	1	-1	-1	-1	-1	512	384
16	0	NB87	208	208	-1	3	1	-1	-1	-1	-1	512	384
16	0	NB87	224	224	-1	3	1	-1	-1	-1	-1	511	384
16	0	NB87	240	240	-1	3	1	-1	-1	-1	-1	511	384
16	0	NB87	256	256	-1	3	1	-1	-1	-1	-1	511	384
16	0	NB87	272	272	-1	3	1	-1	-1	-1	-1	511	384
16	0	NB87	288	288	-1	3	1	-1	-1	-1	-1	511	384
16	0	NB87	304	304	-1	3	1	-1	-1	-1	-1	511	384
16	0	NB87	320	320	-1	3	1	-1	-1	-1	-1	511	384
16	0	NB87	336	336	-1	3	1	-1	-1	-1	-1	510	384
16	0	NB87	352	352	-1	3	1	-1	-1	-1	-1	509	383
16	0	NB87	368	368	-1	3	1	-1	-1	-1	-1	509	383
16	0	NB87	384	384	-1	3	1	-1	-1	-1	-1	507	382
16	0	NB87	400	400	-1	3	1	-1	-1	-1	-1	507	382
16	0	NB87	416	416	-1	3	1	-1	-1	-1	-1	507	382
16	0	NB87	432	432	-1	3	1	-1	-1	-1	-1	507	382
16	0	NB87	448	448	-1	3	1	-1	-1	-1	-1	507	382
16	0	NB87	464	464	-1	3	1	-1	-1	-1	-1	507	382
16	0	NB87	480	480	-1	3	1	-1	-1	-1	-1	507	382
16	0	NB87	496	496	-1	3	1	-1	-1	-1	-1	507	382
16	0	NB87	512	512	-1	3	1	-1	-1	-1	-1	507	383
16	0	NB87	528	528	-1	3	1	-1	-1	-1	-1	507	385
16	0	NB87	544	544	-1	3	1	-1	-1	-1	-1	509	388
16	0	NB87	560	560	-1	3	1	-1	-1	-1	-1	514	393
16	0	NB87	576	576	-1	3	1	-1	-1	-1	-1	522	400
16	0	NB87	592	592	-1	3	1	-1	-1	-1	-1	531	406
16	0	NB87	608	608	-1	3	1	-1	-1	-1	-1	537	411
16	0	NB87	624	624	-1	3	1	-1	-1	-1	-1	540	414
16	0	NB87	640	640	-1	3	1	-1	-1	-1	-1	542	415
16	0	NB87	656	656	-1	3	1	-1	-1	-1	-1	542	415
16	0	NB87	672	672	-1	3	1	-1	-1	-1	-1	542	415
